run_id,tags.mlflow.runName,params.vector_db,params.top_k,params.temperature,params.model_chat,params.model_embed,params.filter_fields,metrics.judge_mean,metrics.judge_pass_rate_ge_0.8,metrics.judge_min,metrics.n_examples,tags.eval_run_id
ce4f6d58c540423e8795fa3b25667b47,fixed_window_embeddings|k=5|t=0.1|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},fixed_window_embeddings,5,0.1,gpt-4.1-nano,text-embedding-3-small,{},0.7,0.0,0.7,1.0,ce4f6d58c540423e8795fa3b25667b47
d669bf1b41cf4f40bb13e058bf3499b0,fixed_window_embeddings|k=5|t=0|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},fixed_window_embeddings,5,0,gpt-4.1-mini,text-embedding-3-small,{},0.7,0.0,0.7,1.0,d669bf1b41cf4f40bb13e058bf3499b0
bb421cb136a9419dac96ab9dad4773a3,fixed_window_embeddings|k=10|t=0.1|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},fixed_window_embeddings,10,0.1,gpt-4.1-nano,text-embedding-3-small,{},0.7,0.0,0.7,1.0,bb421cb136a9419dac96ab9dad4773a3
18cb5ef8356f4dacb33b67a107c8eca3,fixed_window_embeddings|k=5|t=0|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},fixed_window_embeddings,5,0,gpt-4.1-nano,text-embedding-3-small,{},0.7,0.0,0.7,1.0,18cb5ef8356f4dacb33b67a107c8eca3
a875d90a04864508b0d17aac8be6314d,fixed_window_embeddings|k=10|t=0.1|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},fixed_window_embeddings,10,0.1,gpt-4.1-mini,text-embedding-3-small,{},0.7,0.0,0.7,1.0,a875d90a04864508b0d17aac8be6314d
752947195729418a9fad1657fbb13858,catalog_embeddings_improved|k=10|t=0.1|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},catalog_embeddings_improved,10,0.1,gpt-4.1-mini,text-embedding-3-small,{},0.6,0.0,0.6,1.0,752947195729418a9fad1657fbb13858
bffb9dd96e6648fea4d8f1b0c3679bbe,catalog_embeddings_improved|k=10|t=0|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},catalog_embeddings_improved,10,0,gpt-4.1-nano,text-embedding-3-small,{},0.6,0.0,0.6,1.0,bffb9dd96e6648fea4d8f1b0c3679bbe
7f9b7da5842f4e4eb09dd036812ca780,catalog_embeddings_improved|k=10|t=0|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},catalog_embeddings_improved,10,0,gpt-4.1-mini,text-embedding-3-small,{},0.6,0.0,0.6,1.0,7f9b7da5842f4e4eb09dd036812ca780
2219c82078004fa7a0fd8f62cef1fb2e,catalog_embeddings_improved|k=5|t=0.1|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},catalog_embeddings_improved,5,0.1,gpt-4.1-mini,text-embedding-3-small,{},0.6,0.0,0.6,1.0,2219c82078004fa7a0fd8f62cef1fb2e
c836e611154b4e8a85458e340be3d41a,catalog_embeddings_improved|k=5|t=0|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},catalog_embeddings_improved,5,0,gpt-4.1-nano,text-embedding-3-small,{},0.6,0.0,0.6,1.0,c836e611154b4e8a85458e340be3d41a
